"id","created_at","updated_at","name","avg_sr","total_sr","tournament_id","balancer_name","captain_id"
"19","2025-07-20 21:39:51.016502+00",NULL,"Ducky","1100",5500,"1","Ducky#21942","22"
"20","2025-07-20 21:39:51.067746+00",NULL,"CraazzzyyFox","1100",5500,"1","CraazzzyyFox#2130","1"
"21","2025-07-20 21:39:51.100522+00",NULL,"Wisparian","1100",5500,"1","Wisparian#2636","25"
"22","2025-07-20 21:39:51.132834+00",NULL,"DemonDimon","1100",5500,"1","DemonDimon#2279","28"
"23","2025-07-20 21:39:51.165323+00",NULL,"Scorpion","1100",5500,"1","Scorpion#28691","15"
"24","2025-07-20 21:39:51.198017+00",NULL,"Morsik","1100",5500,"1","Morsik#21687","45"
"25","2025-07-20 21:39:51.231225+00",NULL,"vac3x","1100",5500,"1","vac3x#2315","62"
"26","2025-07-20 21:39:51.265159+00",NULL,"HauauNipah","1120",5600,"1","HauauNipah#2210","76"
"27","2025-07-20 21:39:51.297889+00",NULL,"rybr0n","1120",5600,"1","rybr0n#2291","2"
"28","2025-07-20 21:39:51.329438+00",NULL,"Averet","1120",5600,"1","Averet#21358","8"
"29","2025-07-20 21:39:51.360643+00",NULL,"Magistr","1120",5600,"1","Magistr#21158","80"
"30","2025-07-20 21:39:51.392964+00",NULL,"CryZz","1130",5650,"1","CryZz#21225","5"
"31","2025-07-20 21:39:51.424594+00",NULL,"ЕдкийЁж","1140",5700,"1","ЕдкийЁж#216878","20"
"32","2025-07-20 21:39:51.456516+00",NULL,"DOORSTUCK","1140",5700,"1","DOORSTUCK#21759","89"
"33","2025-07-20 21:39:51.488168+00",NULL,"Kweady","1140",5700,"1","Kweady#2971","67"
"34","2025-07-20 21:39:51.519307+00",NULL,"pickmeplz","1140",5700,"1","pickmeplz#2154","32"
"35","2025-07-20 21:39:51.550165+00",NULL,"Mioto","1140",5700,"1","Mioto#21199","6"
"36","2025-07-20 21:39:51.581507+00",NULL,"LookAtMyDuck","1140",5700,"1","LookAtMyDuck#2249","10"
"37","2025-10-11 16:37:47.551548+00",NULL,"CheRnU9h","1120",5600,"2","CheRnU9h#2816","98"
"38","2025-10-11 16:37:47.600466+00",NULL,"Lynxx","1120",5600,"2","Lynxx#21360","123"
"39","2025-10-11 16:37:47.626151+00",NULL,"Ducky","1120",5600,"2","Ducky#21942","22"
"40","2025-10-11 16:37:47.651506+00",NULL,"CraazzzyyFox","1120",5600,"2","CraazzzyyFox#2130","1"
"41","2025-10-11 16:37:47.674697+00",NULL,"ЛорТуррикoв","1120",5600,"2","ЛорТуррикoв#2277","60"
"42","2025-10-11 16:37:47.698702+00",NULL,"illusion","1120",5600,"2","illusion#23745","99"
"43","2025-10-11 16:37:47.722062+00",NULL,"Freezzle","1130",5650,"2","Freezzle#21837","94"
"44","2025-10-11 16:37:47.746566+00",NULL,"Dodra","1140",5700,"2","Dodra#21514","113"
"45","2025-10-11 16:37:47.771417+00",NULL,"vac3x","1140",5700,"2","vac3x#2315","62"
"46","2025-10-11 16:37:47.794485+00",NULL,"Tref","1140",5700,"2","Tref#2420","97"
"47","2025-10-11 16:37:47.817904+00",NULL,"Mioto","1140",5700,"2","Mioto#21199","6"
"48","2025-10-11 16:37:47.841739+00",NULL,"rybr0n","1140",5700,"2","rybr0n#2291","2"
"49","2025-10-11 16:37:47.864937+00",NULL,"Scorpion","1140",5700,"2","Scorpion#28691","15"
"50","2025-10-11 16:37:47.888249+00",NULL,"Ocelot","1140",5700,"2","Ocelot#21795","95"
"51","2025-10-11 16:37:47.911809+00",NULL,"litnik","1140",5700,"2","litnik#21214","100"
"52","2025-10-11 16:37:47.935245+00",NULL,"MaGistR","1140",5700,"2","MaGistR#21158","80"
